,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger,, 
GSM768694,1,1,0,1,1,1,0,1,,
GSM768695,1,0,0,1,0,1,1,0,,
GSM768696,1,0,1,0,1,1,0,0,,
GSM768697,1,0,0,0,0,1,1,0,,
GSM768698,0,1,1,1,1,1,1,0,,
GSM768699,1,0,0,1,0,1,0,0,,
GSM768700,0,1,1,1,1,1,1,0,,
GSM768701,1,0,1,1,0,0,1,0,,
GSM768702,0,1,1,1,1,1,1,0,,
GSM768703,0,0,0,0,0,0,0,0,,
GSM768704,0,0,0,1,1,1,0,1,,
GSM768705,0,0,1,1,0,1,1,0,,
GSM768706,0,1,1,1,1,1,1,0,,
GSM768707,0,0,0,0,0,1,0,0,,
GSM768708,1,0,0,0,0,1,0,0,,
GSM768709,0,0,1,1,0,1,0,0,,
GSM768710,0,0,0,0,0,0,0,1,,
GSM768711,0,0,0,1,0,1,0,1,,
GSM768712,0,1,0,1,1,1,1,0,,
GSM768713,0,0,1,1,0,1,0,0,,
GSM768714,1,0,1,1,1,1,0,0,,
GSM768715,0,0,1,0,0,1,0,0,,
GSM768716,0,1,1,1,1,1,1,0,,
GSM768717,1,1,1,1,1,1,1,1,,
GSM768718,1,1,0,1,1,1,1,0,,
GSM768719,0,0,1,1,0,1,1,0,,
GSM768720,0,1,0,1,1,1,1,0,,
GSM768721,1,1,0,1,1,1,1,0,,
GSM768722,0,0,0,1,0,1,0,0,,
GSM768723,0,0,1,1,1,1,0,0,,
GSM768724,1,0,0,0,0,1,0,0,,
GSM768727,0,0,0,1,0,0,0,0,,
GSM768734,1,0,0,0,0,1,0,0,,
GSM768735,0,0,0,1,0,1,1,0,,
GSM768738,1,1,1,1,1,1,1,1,,
GSM768739,0,1,0,1,1,1,1,0,,
GSM768740,1,0,0,1,0,0,0,0,,
GSM768742,1,1,0,1,1,1,0,1,,
GSM768743,1,1,1,1,1,1,1,1,,
GSM768744,0,0,0,1,0,0,1,0,,
GSM768745,0,0,1,1,0,1,1,0,,
GSM768746,1,1,1,1,1,1,1,0,,
GSM768747,1,1,0,1,0,1,0,0,,
GSM768748,0,0,1,0,1,1,0,0,,
GSM768749,1,1,0,1,1,1,1,1,,
GSM768751,1,0,1,1,0,1,0,0,,
GSM768752,1,0,1,1,1,1,0,1,,
GSM768753,0,0,1,1,0,0,0,0,,
GSM768754,0,1,0,1,1,1,1,0,,
