"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM768713","1","0","1","0","0","0","1"
"GSM768714","1","0","1","0","1","1","1"
"GSM768715","1","0","1","0","0","0","1"
"GSM768716","1","1","1","1","1","0","1"
"GSM768717","0","1","1","1","1","1","1"
"GSM768718","0","1","0","1","1","1","1"
"GSM768719","0","1","1","0","0","0","1"
"GSM768720","1","1","0","1","1","0","1"
"GSM768721","1","1","0","1","1","1","1"
"GSM768722","1","0","0","0","0","0","1"
"GSM768723","1","0","1","0","1","0","1"
"GSM768724","0","0","0","0","0","1","1"
"GSM768727","1","0","0","0","0","0","0"
"GSM768734","1","0","0","0","0","1","1"
"GSM768735","1","1","0","0","0","0","1"
"GSM768738","0","1","1","1","1","1","1"
"GSM768739","0","1","0","1","1","0","1"
"GSM768740","0","0","0","0","0","1","0"
"GSM768742","0","0","0","1","1","1","1"
"GSM768743","0","1","1","1","1","1","1"
"GSM768744","0","1","0","0","0","0","0"
"GSM768745","0","1","1","0","0","0","1"
"GSM768746","1","1","1","1","1","1","1"
"GSM768747","1","0","0","1","0","1","1"
"GSM768748","1","0","1","0","1","0","1"
"GSM768749","0","1","0","1","1","1","1"
"GSM768751","0","0","1","0","0","1","1"
"GSM768752","0","0","1","0","1","1","1"
"GSM768753","0","0","1","0","0","0","0"
"GSM768754","1","1","0","1","1","0","1"
